scope,det,spectrum,source,sha256,bytes,result_data,channels,live_s,counts,lines,res_c
spectrum,G1S16,G1S16_Eu152_P5,LSRM поверки\Поверка 2016\Точка 5см\Eu-152 #6649_Точечная-5см_5cm.xml,bd59cebc32bdeb69772d3a1d2c3bfb84fd8e4c2eb9b99707cee971c630abb0b1,38995,0,1024,1800.0,5029781,8,
spectrum,G1S16,G1S16_K40_Mar,LSRM поверки\Поверка 2016\Маринелли\K40_420-7-20_Маринелли_0cm.xml,7b22f3bd416306adb97b1005f7aa6c40ded9f81ebc1e88e44367708734bb6336,38025,0,1024,3600.0,68917,3,
spectrum,G1S16,G1S16_K40_Mar_2,LSRM поверки\Поверка 2016\Маринелли\K40_420-7-21_Маринелли.xml,8bbeac065e10724ca27ab23d6d9ba7b4f62f8f907fd16cc36aa21f9f1deef6d4,38203,0,1024,3600.0,119600,3,
spectrum,G1S16,G1S16_Mix_Denta100,LSRM поверки\Поверка 2016\Дента-100мл\РИСН №379_Am-Ti-Eu-Cs_Дента-100.xml,4ac7332a88c71738231d53e7bf785177de25a1898eeca72aad903a5d521fb0df,38496,0,1024,3600.0,576525,10,
spectrum,G1S16,G1S16_Mix_Mar,LSRM поверки\Поверка 2016\Маринелли\Смесь_AmTiCsEu_Маринелли.xml,75845c99f543266fd61b304793e32a13243455cfb148ccffada8667833de9915,38974,0,1024,3600.2,4351855,11,
spectrum,G1S16,G1S16_Mix_Petri,LSRM поверки\Поверка 2016\Чашка Петри 60мл\РИСН №379_Am-Ti-Eu-Cs_Петри-60.xml,4e0b98c04ba64318851bc1476a06c2fe6b03523ce338d915f941ebcc31d282f4,38426,0,1024,3600.0,422990,11,
spectrum,G1S16,G1S16_Mn54_P25,LSRM поверки\Поверка 2016\Точка 25см\Mn-54_587_Точечная-25см_25cm.xml,8def24b7f825dc99c37c5b0ac149df8bc7ba52c7c45c6ce6e9fc6ba04f3403ba,38238,0,1024,1800.0,250040,4,
spectrum,G1S16,G1S16_Mn54_P5,LSRM поверки\Поверка 2016\Точка 5см\Mn-54_587_Точечная-5см_5cm.xml,ee635e1398e28c40a481db1d5de308a4e0d28ce4fac9fd1751a080889b9a83b4,38237,0,1024,600.0,659957,5,
spectrum,G1S16,G1S16_Na22_P25,LSRM поверки\Поверка 2016\Точка 25см\Na-22_585_Точечная-25см_25cm.xml,7f57d26a16e1efe0a285107d7d73efd60e4c143a70ccfb6fb4419264dd7a76cb,38619,0,1024,1800.2,1511444,3,
spectrum,G1S16,G1S16_Na22_P5,LSRM поверки\Поверка 2016\Точка 5см\Na-22_585_Точечная-5см_5cm.xml,56035af0cbadbfbb78972cf00aa1610917a7671788845cefb30b5bfe69b325ee,39164,0,1024,600.0,5188557,5,
spectrum,G1S16,G1S16_Ra226_Mar,LSRM поверки\Поверка 2016\Маринелли\Ra226_420-7-18_Маринелли_0cm.xml,1953a158b0de1b8fcc594069c7860ae83cd0bba473511be49816590519edf2f9,38830,0,1024,3600.0,749487,12,
spectrum,G1S16,G1S16_Ra226_Mar_2,LSRM поверки\Поверка 2016\Маринелли\Ra226_420-7-19_Маринелли.xml,963e68f6a98cb9179e09886e142066e7ce38b077b365bdba41f92c30943fa830,39125,0,1024,3600.0,1894016,12,
spectrum,G1S16,G1S16_Th228_P25,LSRM поверки\Поверка 2016\Точка 25см\Th-228 #6649_Точечная-25см_25cm.xml,7766b608063667b0e81af15acd5811131b5d0f58b7d568aed1b0778f785207fb,38490,0,1024,3600.0,191626,7,
spectrum,G1S16,G1S16_Th228_P5,LSRM поверки\Поверка 2016\Точка 5см\Th-228 #6649_Точечная-5см_5cm.xml,ecff21bdb00fa4e4196d0f65937478803b26b135f2532a84fb517513ba84672a,38619,0,1024,1800.0,376070,6,
spectrum,G1S16,G1S16_Th232_Denta100,LSRM поверки\Поверка 2016\Дента-100мл\Th-232 #420_13036 Дента-100_Дента-100.xml,043909b628d5a90d5f07ea7eeb9f3764093fb6d849a48a7501f2b7f56192736e,38371,0,1024,3600.0,118745,8,
spectrum,G1S16,G1S16_Th232_Mar,LSRM поверки\Поверка 2016\Маринелли\Th-232 #420_13036_Маринелли.xml,20bca355cc4a6add30b33122cde4dcbd3c9bd67064b46966e3ed8102ebb54c94,39018,0,1024,3600.0,834878,9,
spectrum,G1S16,G1S16_Th232_Mar_2,LSRM поверки\Поверка 2016\Маринелли\Th232_420-7-16_Маринелли_0cm.xml,cdb61e023449c1d77a9455764490332e7412c8503306df69c1cb0661b2a4125c,39194,0,1024,3600.0,1115851,9,
spectrum,G1S16,G1S16_Th232_Mar_3,LSRM поверки\Поверка 2016\Маринелли\Th232_420-7-17_Маринелли.xml,10820ccffd784aacf208a6e5663fe30eb6669cf4b68b9a8e3492925ea5a0ddde,39628,0,1024,3600.2,2704428,10,
spectrum,G1S16,G1S16_Th232_Petri,LSRM поверки\Поверка 2016\Чашка Петри 60мл\Th-232 #420_13036 Петри-60_Петри-60.xml,beadf596c4581be04c0c31f5c2061778f42e7025c3bf5d8e360fe21ea850bb76,38255,0,1024,3600.0,91288,7,
spectrum,G1S16,G1S16_Y88_P25,LSRM поверки\Поверка 2016\Точка 25см\Y-88_589_Точечная-25см_25cm.xml,8d2fd39179d125cd0ff9b1fafc0846940d5140a73c7633beabc519fafe992d1e,38274,0,1024,3600.0,138104,7,
spectrum,G1S16,G1S16_Y88_P5,LSRM поверки\Поверка 2016\Точка 5см\Y-88_589_Точечная-5см_5cm.xml,b935f2b15ebb1c032d3b63a8910e40ee047dfbba98a7ad56ee5d244a2fcf393d,38198,0,1024,1200.0,57481,4,
spectrum,G1S24,G1S24_Am241_P5,LSRM поверки\Поверка 2024\Точечная-5см\Am-241 045 02.2019_Точечная-5см_5cm.xml,1706ed4138c589de0bedbbe257d0a346bb801a93dffaac8e8c7213b3524132bd,37921,0,1024,1811.5,3421527,2,
spectrum,G1S24,G1S24_Ba133_P5,LSRM поверки\Поверка 2024\Точечная-5см\Ba-133 #6649_Точечная-5см_5cm.xml,4575e67065cae36b9d06183aa1064da1fd8d83d79414aafde133407c9ef024ea,38464,0,1024,6050.0,8739610,4,
spectrum,G1S24,G1S24_Bi207_P5,LSRM поверки\Поверка 2024\Точечная-5см\Bi-207 #176 04.2017_Точечная-5см_5cm.xml,a90a13b9e94d305b8e08961c274e75198cf778181dd7a1d272174dd01a32b364,39513,0,1024,1800.2,15008353,5,
spectrum,G1S24,G1S24_Cd109_P5,LSRM поверки\Поверка 2024\Точечная-5см\Cd-109 #175 04.2017_Точечная-5см_5cm.xml,1faf5d6debfad943cb869956aa9ff2c67e4c427ebba7a6620bb65ef45a883b52,37870,0,1024,1800.0,74581,2,
spectrum,G1S24,G1S24_Co60_P5,LSRM поверки\Поверка 2024\Точечная-5см\Co-60 №043 02.2019_Точечная-5см_5cm.xml,a63cef93f740d018891f10b115ad6eee850d39c8326fa21b17c666c4b4bfa74b,39633,0,1024,1800.0,5330142,7,
spectrum,G1S24,G1S24_Cs137_Denta120,LSRM поверки\Поверка 2024\Дента120мл\Cs137_420-7-14_Дента-120мл_0cm.xml,da0a9b09fcd952be45548631490871a2250184ad5f19efd948501e568c8f392c,38091,0,1024,4819.6,59058,2,
spectrum,G1S24,G1S24_Cs137_Denta120_2,LSRM поверки\Поверка 2024\Дента120мл\Cs137_420-7-15_Дента-120мл_0cm.xml,5fcc69566cac3a976e8ba162568de961dc2d00a8a24ed9d86cc2f369f989d78c,38309,0,1024,9588.3,212429,4,
spectrum,G1S24,G1S24_Cs137_Mar,LSRM поверки\Поверка 2024\Маринелли\Cs137_420-7-14_Маринелли_0cm.xml,00563ad156e2b0ac01a00447c68f047dea4ca8776641f2fb4ef3ba3b0f672769,38372,0,1024,7577.5,324604,3,
spectrum,G1S24,G1S24_Cs137_Mar_2,LSRM поверки\Поверка 2024\Маринелли\Cs137_420-7-15_Маринелли_0cm.xml,ab367c59d43804966c4103d0e551b93ef5ce24d923048891ad09832dfc12f380,38581,0,1024,11130.6,1329328,4,
spectrum,G1S24,G1S24_Cs137_P25,LSRM поверки\Поверка 2024\Точечная-25см\Cs-137 №163.2017_Точечная-25см_25cm.xml,7dd0e06d331a8852c70c46d82c41daf4777a54b68eeab0d02fdc79801967963b,38492,0,1024,3434.8,1107180,5,
spectrum,G1S24,G1S24_Cs137_P5,LSRM поверки\Поверка 2024\Точечная-5см\Cs-137 №163.2017.xml,7a30ab9891247f332dc8c05e1a90b0f11e3afa30ca684c8142b7f4006eda5452,38615,0,1024,1800.0,5421136,3,
spectrum,G1S24,G1S24_Cs137_Petri,LSRM поверки\Поверка 2024\Петри-60мл\Cs137_420-7-14_Петри-60мл_0cm.xml,fb59e6351b21585d03447f7483209435a9f4d09fbced908e376cdb448734acb2,38226,0,1024,9073.7,96036,3,
spectrum,G1S24,G1S24_Cs137_Petri_2,LSRM поверки\Поверка 2024\Петри-60мл\Cs137_420-7-15_Петри-60мл_0cm.xml,46f24b61a3a171dee36ed66aad3edfd14e2d9b448d0c49d723b84f1dc6ff6f5f,38336,0,1024,11415.8,196903,4,
spectrum,G1S24,G1S24_Eu152_P5,LSRM поверки\Поверка 2024\Точечная-5см\Eu-152 №04.21_Точечная-5см_5cm.xml,2f16f763e89e5d5ef15847e13969d9a7f950b8ad8e2080000033b66d00008847,39854,0,1024,4168.4,44252892,8,
spectrum,G1S24,G1S24_K40_Denta120,LSRM поверки\Поверка 2024\Дента120мл\K40_420-7-20_Дента-120мл_0cm.xml,66972f29c8a62c69a2690626686af385bfee6bc9b55da04c0ac3abb11aac0889,39002,0,1024,57055.2,522328,6,
spectrum,G1S24,G1S24_K40_Denta120_2,LSRM поверки\Поверка 2024\Дента120мл\K40_420-7-21_Дента-120мл_0cm.xml,057459cdf2193ad21696e708367134b1f25ad460a0119a327f9c6410d2286639,39024,0,1024,52710.4,578517,4,
spectrum,G1S24,G1S24_K40_Mar,LSRM поверки\Поверка 2024\Маринелли\K40_420-7-20_Маринелли_0cm.xml,0acede1da21e07ddb9e11766b047841823d903aff4b1c5ed1144b83c66c4ea1d,38485,0,1024,8627.5,166347,4,
spectrum,G1S24,G1S24_K40_Mar_2,LSRM поверки\Поверка 2024\Маринелли\K40_420-7-21_Маринелли_0cm.xml,f50fbc1503f5aabd392f159579a880ebf2131ad5eeef6f914aabe4a94902f892,38533,0,1024,6813.9,220483,2,
spectrum,G1S24,G1S24_K40_Petri,LSRM поверки\Поверка 2024\Петри-60мл\K40_420-7-20_Петри-60мл_0cm.xml,3741371ce8fb5011477f02e98433554188b1c8e5509f7f80ee362898d2a959d2,38993,0,1024,58042.8,491887,5,
spectrum,G1S24,G1S24_K40_Petri_2,LSRM поверки\Поверка 2024\Петри-60мл\K40_420-7-21_Петри-60мл_0cm.xml,5dc375c2ccbb2e45bec49d8a36548435507732c425cbc9811d4001fac7147ca4,38273,0,1024,9758.1,94815,2,
spectrum,G1S24,G1S24_Na22_P25,LSRM поверки\Поверка 2024\Точечная-25см\Na-22 #01.22_Точечная-25см_25cm.xml,eb4276cc1587d51153a38a6e0573606523372d83e56d83d68abb3892412b6f44,39100,0,1024,3187.2,4939084,5,
spectrum,G1S24,G1S24_Na22_P5,LSRM поверки\Поверка 2024\Точечная-5см\Na-22 #01.22.xml,a2d452e8f748e0cbd4ae794a78f883eec3dcfbd99d79e5999e4083e1128cb175,39991,0,1024,1799.6,28087865,5,
spectrum,G1S24,G1S24_Ra226_Denta120,LSRM поверки\Поверка 2024\Дента120мл\Ra226_420-7-18_Дента-120мл_0cm.xml,6c3a86e5674a13294658c20972db18abf7c88d94970470bf545098bb48ab64c3,38588,0,1024,6937.7,232899,14,
spectrum,G1S24,G1S24_Ra226_Denta120_2,LSRM поверки\Поверка 2024\Дента120мл\Ra226_420-7-19_Дента-120мл_0cm.xml,c57b2a942ad61c62500254035a54e44a2e84e42c72b97447651ee5c4dc31b8aa,39085,0,1024,11052.2,876760,11,
spectrum,G1S24,G1S24_Ra226_Mar,LSRM поверки\Поверка 2024\Маринелли\Ra226_420-7-18_Маринелли_0cm.xml,1ea403b95f2d698c6350cb8d3760322ec7f6c67be6ba216e8a010975bc5c5439,39037,0,1024,5242.5,1010827,12,
spectrum,G1S24,G1S24_Ra226_Mar_2,LSRM поверки\Поверка 2024\Маринелли\Ra226_420-7-19_Маринелли_0cm.xml,9b0d4c168200f9b7540fb09ef06dfc260c6f762ede1d1f697e1ad8bc04310197,39570,0,1024,5813.7,3106164,13,
spectrum,G1S24,G1S24_Ra226_Petri,LSRM поверки\Поверка 2024\Петри-60мл\Ra226_420-7-18_Петри-60мл_0cm.xml,c6130bdea9bb6d6dbe326bc3adb9d012d51d0c6f163d6f2cf737f6826b15b06c,38596,0,1024,9050.7,220817,10,
spectrum,G1S24,G1S24_Ra226_Petri_2,LSRM поверки\Поверка 2024\Петри-60мл\Ra226_420-7-19_Петри-60мл_0cm.xml,e8be36446f11ad44ddd16a3646a25f58ecac0e9944a4b734ca77b5a3fcc294c8,39045,0,1024,13301.4,739150,14,
spectrum,G1S24,G1S24_Th228_P25,LSRM поверки\Поверка 2024\Точечная-25см\Th-228 №309_Точечная-25см_25cm.xml,490ae44eb8804b2dd105c561417379d6aa52ff2f1325755c67e56836c21c2d9e,39529,0,1024,7634.4,1908325,9,
spectrum,G1S24,G1S24_Th228_P5,LSRM поверки\Поверка 2024\Точечная-5см\Th-228 №264.2023_Точечная-5см_5cm.xml,1b47c1005704a2e0237aa8ae29c845174d25b061015a1af2946e178923ea3f3d,40791,0,1024,4905.0,36725664,9,
spectrum,G1S24,G1S24_Th232_Denta120,LSRM поверки\Поверка 2024\Дента120мл\Th-232_420-17031_Дента-120мл_0cm.xml,2b6f5f1e683a0e122a5ec73fa9014ae13c55a5146c0602b0f0bb8969c26ab249,38478,0,1024,4846.5,134872,7,
spectrum,G1S24,G1S24_Th232_Denta120_2,LSRM поверки\Поверка 2024\Дента120мл\Th232_420-7-17_Дента-120мл_0cm.xml,b988cf56d002736007970bb75778804e0054435832c1bfd7461b4e7fffdc47ac,39054,0,1024,6309.1,702463,11,
spectrum,G1S24,G1S24_Th232_Mar,LSRM поверки\Поверка 2024\Маринелли\Th-232_420-17031_Маринелли_0cm.xml,4e5657eda502d3b2daa94a6a1d66f9f0b4e3568a49c8633794d1be3e1b1f05c4,38876,0,1024,4284.6,624724,9,
spectrum,G1S24,G1S24_Th232_Mar_2,LSRM поверки\Поверка 2024\Маринелли\Th232_420-7-17_Маринелли_0cm.xml,d2ceee8232ab0fe9f785b610988636497bf3390e5da250cbf2a7a9d6dd67e469,40071,0,1024,11359.2,8006138,9,
spectrum,G1S24,G1S24_Th232_Petri,LSRM поверки\Поверка 2024\Петри-60мл\Th-232_420-17031_Петри-60мл_0cm.xml,bb56f3d5a93372b7d3e0d693a85a8141dbff4e18add180130dfeb9614ac0e3f6,39439,0,1024,55934.0,1135621,11,
spectrum,G1S24,G1S24_Th232_Petri_2,LSRM поверки\Поверка 2024\Петри-60мл\Th232_420-7-17_Петри-60мл_0cm.xml,cbab29342948da0f3adbfb6f10ee18196be089ad8e31b70f7f97a5efd0f13384,39871,0,1024,61929.4,4750845,10,
spectrum,G1S24,G1S24_Y88_P25,LSRM поверки\Поверка 2024\Точечная-25см\Y-88 №260.2023_Точечная-25см_25cm.xml,a69bdd76954ec5104d4767d306ae13bdf25624b76b87f41c14dc22cf98e3fef0,38980,0,1024,2905.1,634098,6,
spectrum,G1S24,G1S24_Y88_P5,LSRM поверки\Поверка 2024\Точечная-5см\Y-88 №260.2023_Точечная-5см_5cm.xml,606abbcb1059da78f73f12ceef0f0a0f27a32f527071fe1c6eb228635e77c6ca,39838,0,1024,2217.8,4012043,5,
spectrum,G1S24,G1S24_Zn65_P5,LSRM поверки\Поверка 2024\Точечная-5см\Zn-65 #342.2019_Точечная-5см_5cm.xml,21552f3f8d71f309ef62e23ccf653e1aba5c4daff90bc079674439b942174d3a,38036,0,1024,2072.0,46237,3,
spectrum,GS4000,GS4000_Lu176,КИ от Жени\Lu-176 (Контрольный).xml,21ce0c82a2974f5a5e5a149085ec629dd174d03929c0583f0b0130aec62ea4f2,26548888,0,4000,57341.3,969379,4,
spectrum,GS4000,GS4000_Ra226,КИ от Жени\Ra-226 (Контрольный).xml,645e01775cdf0dc50d3d5ce1a734fd2cb6847b5158e0cf9b062b89744e91625f,53831066,0,4000,43562.3,1976663,11,
spectrum,GS4000,GS4000_Th232,КИ от Жени\Th-232 (Контрольный).xml,bb187ac6f0484d66350349d1964a4241362e91cd3723a686a8bb494e3e512074,22462861,0,4000,6866.9,818473,8,
spectrum,GS4000,GS4000_U,КИ от Жени\U(233-238) (Контрольный).xml,e578cb9be084dda4978d1bca56c660238b80431d917a4d93907a775b5aa9e3dd,27102525,0,4000,39417.7,989798,7,
spectrum,HPGE,HPGE_Uranium,HPGE\U_Пуговицы_tl60260_14.08.2020.xml,721b583ee3668ee9a8f696ced6abd292c9ba394d0efdfd260a2dda4e187c1d9b,606215,0,16384,60260.0,5685529,15,
spectrum,HPGE_GEM,HPGeGEM_K40,SpectraVibe\HPGe GEM20\K40 маринелли.xml,b4d16e3a753731b898f4579f60d2ef0c4a10c332623672c2068dfb7b7b527c87,298855,0,8192,3600.0,70809,2,
spectrum,HPGE_GEM,HPGeGEM_Ra226,SpectraVibe\HPGe GEM20\Ra226 маринелли.xml,30344a9d1fb51d9f907928c469e62f73859f07bd0f804b26810fc8e37f6dfa31,302229,0,8192,1800.0,626854,12,
spectrum,HPGE_GEM,HPGeGEM_Th232,SpectraVibe\HPGe GEM20\Th232 маринелли.xml,ca14835f7de887e06fb2c034632e69df16979e3353f6fa38b058eee574b97051,303683,0,8192,1800.0,890416,17,
spectrum,HPGE_GMX,HPGeGMX_Background,SpectraVibe\HPGe GMX\Фон.xml,1c58e1bafeb0474406b3a64893cc03a3d9e9888b73913c3454e3257ec6d98dc4,297926,0,8192,956.0,62083,11,
spectrum,HPGE_GMX,HPGeGMX_Eu152,SpectraVibe\HPGe GMX\Eu152 244 кБк.xml,3928f79fcb275621735952b0fcf9de2bbcf0df3d5d21447b00943ad3f86a9c69,598614,0,8192,300.0,548241,7,
spectrum,HPGE_GMX,HPGeGMX_Th228,SpectraVibe\HPGe GMX\Th228 68 кБк.xml,a6d814a1686c32f93ccd5b3fabc9a16a1cfb17bc86d8d3ca468c6589288a0f5c,596013,0,8192,300.0,174257,6,
spectrum,HPGE_GMX,HPGeGMX_Th232,SpectraVibe\HPGe GMX\Th232 17 кБк.xml,605b123dcb280d5fe1f35eca011559facced2a13d47420931fa2b736de0965d3,595771,0,8192,300.0,94237,13,
