состояние,чего_нет,спектр,группа,часть,истина,каналов,живое_с,отсчётов,ПШПВ_662_%,фон,калибровка,геометрия,тип_источника,сосуд,проба,ρ_пробы,кристалл,матрица,узел_кривой,исходник
✅,,G1S16_Cs137_Mar,G1S16,known,137CS,1024,3600.0,182541,6.6,фон пустая защита_15.xml,poly1/grp,G1S_mar1l_oisn06_057_p16,MARINELLI,"Маринелли, набивка ОИСН-06 0.57 г/см³, вплотную",ОИСН-06,0.57,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn06_057_p16,LSRM поверки\Поверка 2016\Маринелли\Cs137_420-7-14_Маринелли_0cm.xml
✅,,G1S16_Cs137_Mar_2,G1S16,known,137CS,1024,3600.0,542243,6.6,фон пустая защита_15.xml,affine/grp,G1S_mar1l_oisn16_166_p16,MARINELLI,"Маринелли, набивка ОИСН-16 1.66 г/см³, вплотную",ОИСН-16,1.66,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn16_166_p16,LSRM поверки\Поверка 2016\Маринелли\Cs137_420-7-15_Маринелли.xml
✅,,G1S16_K40_Mar,G1S16,known,40K,1024,3600.0,68917,6.6,фон пустая защита_15.xml,ref-cal(G1S16_Ra226_Mar),G1S_mar1l_oisn06_066_p16,MARINELLI,"Маринелли, набивка ОИСН-06 0.66 г/см³, вплотную",ОИСН-06,0.66,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn06_066_p16,LSRM поверки\Поверка 2016\Маринелли\K40_420-7-20_Маринелли_0cm.xml
✅,,G1S16_K40_Mar_2,G1S16,known,40K,1024,3600.0,119600,6.6,фон пустая защита_15.xml,affine/grp,G1S_mar1l_oisn16_155_p16,MARINELLI,"Маринелли, набивка ОИСН-16 1.55 г/см³, вплотную",ОИСН-16,1.55,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn16_155_p16,LSRM поверки\Поверка 2016\Маринелли\K40_420-7-21_Маринелли.xml
✅,,G1S16_Ra226_Mar,G1S16,known,Ra-226,1024,3600.0,749487,6.6,фон пустая защита_15.xml,affine/grp,G1S_mar1l_oisn06_062_p16,MARINELLI,"Маринелли, набивка ОИСН-06 0.62 г/см³, вплотную",ОИСН-06,0.62,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn06_062_p16,LSRM поверки\Поверка 2016\Маринелли\Ra226_420-7-18_Маринелли_0cm.xml
✅,,G1S16_Ra226_Mar_2,G1S16,known,Ra-226,1024,3600.0,1894016,6.6,фон пустая защита_15.xml,poly2/grp,G1S_mar1l_oisn16_167_p16,MARINELLI,"Маринелли, набивка ОИСН-16 1.67 г/см³, вплотную",ОИСН-16,1.67,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn16_167_p16,LSRM поверки\Поверка 2016\Маринелли\Ra226_420-7-19_Маринелли.xml
✅,,G1S16_Th232_Mar_2,G1S16,known,Th-232,1024,3600.0,1115851,6.6,фон пустая защита_15.xml,gain,G1S_mar1l_oisn06_055_p16,MARINELLI,"Маринелли, набивка ОИСН-06 0.55 г/см³, вплотную",ОИСН-06,0.55,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn06_055_p16,LSRM поверки\Поверка 2016\Маринелли\Th232_420-7-16_Маринелли_0cm.xml
✅,,G1S16_Th232_Mar_3,G1S16,known,Th-232,1024,3600.2,2704428,6.6,фон пустая защита_15.xml,affine,G1S_mar1l_oisn16_160_p16,MARINELLI,"Маринелли, набивка ОИСН-16 1.6 г/см³, вплотную",ОИСН-16,1.6,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn16_160_p16,LSRM поверки\Поверка 2016\Маринелли\Th232_420-7-17_Маринелли.xml
✅,,G1S16_Mix_Petri,G1S16,known,241AM;44TI;152EU;137CS,1024,3600.0,422990,6.6,фон пустая защита_15.xml,gain/grp,G1S_petri60_risn379_100_p16,CYLINDER,"Петри-60, набивка РИСН-379 1 г/см³, вплотную",РИСН-379,1,Sodium iodide,"физика 11, 473 КБ",G1S_petri60_risn379_100_p16,LSRM поверки\Поверка 2016\Чашка Петри 60мл\РИСН №379_Am-Ti-Eu-Cs_Петри-60.xml
✅,,G1S16_Th232_Petri,G1S16,known,Th-232,1024,3600.0,91288,6.6,фон пустая защита_15.xml,poly2/grp,G1S_petri60_oisn10_100_p16,CYLINDER,"Петри-60, набивка ОИСН-10 1 г/см³, вплотную",ОИСН-10,1,Sodium iodide,"физика 11, 473 КБ",G1S_petri60_oisn10_100_p16,LSRM поверки\Поверка 2016\Чашка Петри 60мл\Th-232 #420_13036 Петри-60_Петри-60.xml
✅,,G1S16_Am241_P25,G1S16,known,241AM,1024,600.0,116115,6.6,фон открытый_15.xml,ref-cal(G1S16_Eu152_P25),G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Am-241 42.13_Точечная-25см_25cm.xml
✅,,G1S16_Ba133_P25,G1S16,known,133BA,1024,1800.0,444959,6.6,фон открытый_15.xml,poly2,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Ba-133 #6649_Точечная-25см_25cm.xml
✅,,G1S16_Cd109_P25,G1S16,known,109CD,1024,1800.0,81970,6.6,фон открытый_15.xml,stored,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Cd-109 #6649_Точечная-25см_25cm.xml
❗,нет проверенной энергокалибровки (осталась хранившаяся),G1S16_Ce139_P25,G1S16,known,139CE,1024,1800.0,83721,6.6,фон открытый_15.xml,stored/grp,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Ce-139_591_Точечная-25см_25cm.xml
✅,,G1S16_Co60_P25,G1S16,known,60CO,1024,1800.0,495775,6.6,фон открытый_15.xml,affine/grp,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Co-60 #6649_Точечная-25см_25cm.xml
✅,,G1S16_Cs137_P25,G1S16,known,137CS,1024,1800.0,518437,6.6,фон открытый_15.xml,poly2,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Cs-137 #6649_Точечная-25см_25cm.xml
✅,,G1S16_Eu152_P25,G1S16,known,152EU,1024,3600.0,995657,6.6,фон открытый_15.xml,affine,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Eu-152 #6649_Точечная-25см_25cm.xml
✅,,G1S16_Mn54_P25,G1S16,known,54MN,1024,1800.0,250040,6.6,фон открытый_15.xml,affine,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Mn-54_587_Точечная-25см_25cm.xml
✅,,G1S16_Na22_P25,G1S16,known,22NA,1024,1800.2,1511444,6.6,фон открытый_15.xml,poly1/grp,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Na-22_585_Точечная-25см_25cm.xml
✅,,G1S16_Th228_P25,G1S16,known,Th-228,1024,3600.0,191626,6.6,фон открытый_15.xml,affine/robust/grp,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Th-228 #6649_Точечная-25см_25cm.xml
✅,,G1S16_Y88_P25,G1S16,known,88Y,1024,3600.0,138104,6.6,фон открытый_15.xml,affine/recal/grp,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Y-88_589_Точечная-25см_25cm.xml
✅,,G1S16_Am241_P5,G1S16,known,241AM,1024,300.0,666706,6.6,фон пустая защита_15.xml,ref-cal(G1S16_Eu152_P5),G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Am-241 42.13_Точечная-5см_5cm.xml
✅,,G1S16_Ba133_P5,G1S16,known,133BA,1024,1800.3,4683681,6.6,фон пустая защита_15.xml,poly1/grp,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Ba-133 #6649_Точечная-5см_5cm.xml
✅,,G1S16_Cd109_P5,G1S16,known,109CD,1024,1800.0,251252,6.6,фон пустая защита_15.xml,ref-cal(G1S16_Eu152_P5),G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Cd-109 #6649_Точечная-5см_5cm.xml
✅,,G1S16_Ce139_P5,G1S16,known,139CE,1024,1800.0,260036,6.6,фон пустая защита_15.xml,affine,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Ce-139_591_Точечная-5см_5cm.xml
✅,,G1S16_Co57_P5,G1S16,known,57CO,1024,1800.0,18646,6.6,фон пустая защита_15.xml,ref-cal(G1S16_Eu152_P5),G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Co-57 #6649_Точечная-5см_5cm.xml
✅,,G1S16_Co60_P5,G1S16,known,60CO,1024,1200.0,2918346,6.6,фон пустая защита_15.xml,poly2/grp,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Co-60 #6649_Точечная-5см_5cm.xml
✅,,G1S16_Cs137_P5,G1S16,known,137CS,1024,1800.2,4966296,6.6,фон пустая защита_15.xml,poly1/grp,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Cs-137 #6649_Точечная-5см_5cm.xml
✅,,G1S16_Eu152_P5,G1S16,known,152EU,1024,1800.0,5029781,6.6,фон пустая защита_15.xml,affine/grp,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Eu-152 #6649_Точечная-5см_5cm.xml
✅,,G1S16_Mn54_P5,G1S16,known,54MN,1024,600.0,659957,6.6,фон пустая защита_15.xml,poly1,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Mn-54_587_Точечная-5см_5cm.xml
✅,,G1S16_Na22_P5,G1S16,known,22NA,1024,600.0,5188557,6.6,фон пустая защита_15.xml,affine/grp,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Na-22_585_Точечная-5см_5cm.xml
✅,,G1S16_Th228_P5,G1S16,known,Th-228,1024,1800.0,376070,6.6,фон пустая защита_15.xml,poly2,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Th-228 #6649_Точечная-5см_5cm.xml
✅,,G1S16_Y88_P5,G1S16,known,88Y,1024,1200.0,57481,6.6,фон пустая защита_15.xml,affine,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Y-88_589_Точечная-5см_5cm.xml
✅,,G1S24_Cs137_Denta120,G1S24,known,137CS,1024,4819.6,59058,7.16,Фон закр кр вода_16.xml,gain,G1S_denta120_oisn06_057_p24,CYLINDER,"Дента-120мл, набивка ОИСН-06 0.567 г/см³, вплотную",ОИСН-06,0.56666667,Sodium iodide,"физика 11, 473 КБ",G1S_denta120_oisn06_057_p24,LSRM поверки\Поверка 2024\Дента120мл\Cs137_420-7-14_Дента-120мл_0cm.xml
✅,,G1S24_Cs137_Denta120_2,G1S24,known,137CS,1024,9588.3,212429,7.16,Фон закр кр вода_16.xml,affine/grp,G1S_denta120_oisn16_166_p24,CYLINDER,"Дента-120мл, набивка ОИСН-16 1.658 г/см³, вплотную",ОИСН-16,1.6583333,Sodium iodide,"физика 11, 473 КБ",G1S_denta120_oisn16_166_p24,LSRM поверки\Поверка 2024\Дента120мл\Cs137_420-7-15_Дента-120мл_0cm.xml
✅,,G1S24_K40_Denta120,G1S24,known,40K,1024,57055.2,522328,7.16,Фон закр кр вода_16.xml,poly2/grp,G1S_denta120_oisn06_066_p24,CYLINDER,"Дента-120мл, набивка ОИСН-06 0.658 г/см³, вплотную",ОИСН-06,0.65833333,Sodium iodide,"физика 11, 473 КБ",G1S_denta120_oisn06_066_p24,LSRM поверки\Поверка 2024\Дента120мл\K40_420-7-20_Дента-120мл_0cm.xml
✅,,G1S24_K40_Denta120_2,G1S24,known,40K,1024,52710.4,578517,7.16,Фон закр кр вода_16.xml,poly2,G1S_denta120_oisn16_155_p24,CYLINDER,"Дента-120мл, набивка ОИСН-16 1.55 г/см³, вплотную",ОИСН-16,1.55,Sodium iodide,"физика 11, 473 КБ",G1S_denta120_oisn16_155_p24,LSRM поверки\Поверка 2024\Дента120мл\K40_420-7-21_Дента-120мл_0cm.xml
✅,,G1S24_Ra226_Denta120,G1S24,known,Ra-226,1024,6937.7,232899,7.16,Фон закр кр вода_16.xml,affine/grp,G1S_denta120_oisn06_062_p24,CYLINDER,"Дента-120мл, набивка ОИСН-06 0.617 г/см³, вплотную",ОИСН-06,0.61666667,Sodium iodide,"физика 11, 473 КБ",G1S_denta120_oisn06_062_p24,LSRM поверки\Поверка 2024\Дента120мл\Ra226_420-7-18_Дента-120мл_0cm.xml
✅,,G1S24_Ra226_Denta120_2,G1S24,known,Ra-226,1024,11052.2,876760,7.16,Фон закр кр вода_16.xml,poly2,G1S_denta120_oisn16_167_p24,CYLINDER,"Дента-120мл, набивка ОИСН-16 1.667 г/см³, вплотную",ОИСН-16,1.6666667,Sodium iodide,"физика 11, 473 КБ",G1S_denta120_oisn16_167_p24,LSRM поверки\Поверка 2024\Дента120мл\Ra226_420-7-19_Дента-120мл_0cm.xml
✅,,G1S24_Th232_Denta120,G1S24,known,Th-232,1024,4846.5,134872,7.16,Фон закр кр вода_16.xml,poly2/grp,G1S_denta120_oisn06_064_p24,CYLINDER,"Дента-120мл, набивка ОИСН-06 0.64 г/см³, вплотную",ОИСН-06,0.64,Sodium iodide,"физика 11, 473 КБ",G1S_denta120_oisn06_064_p24,LSRM поверки\Поверка 2024\Дента120мл\Th-232_420-17031_Дента-120мл_0cm.xml
✅,,G1S24_Th232_Denta120_2,G1S24,known,Th-232,1024,6309.1,702463,7.16,Фон закр кр вода_16.xml,affine/robust,G1S_denta120_oisn16_160_p24,CYLINDER,"Дента-120мл, набивка ОИСН-16 1.6 г/см³, вплотную",ОИСН-16,1.6,Sodium iodide,"физика 11, 473 КБ",G1S_denta120_oisn16_160_p24,LSRM поверки\Поверка 2024\Дента120мл\Th232_420-7-17_Дента-120мл_0cm.xml
✅,,G1S24_Cs137_Mar,G1S24,known,137CS,1024,7577.5,324604,7.16,Фон закр кр вода_16.xml,affine/grp,G1S_mar1l_oisn06_057_p24,MARINELLI,"Маринелли, набивка ОИСН-06 0.57 г/см³, вплотную",ОИСН-06,0.57,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn06_057_p24,LSRM поверки\Поверка 2024\Маринелли\Cs137_420-7-14_Маринелли_0cm.xml
✅,,G1S24_Cs137_Mar_2,G1S24,known,137CS,1024,11130.6,1329328,7.16,Фон закр кр вода_16.xml,affine/grp,G1S_mar1l_oisn16_166_p24,MARINELLI,"Маринелли, набивка ОИСН-16 1.66 г/см³, вплотную",ОИСН-16,1.66,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn16_166_p24,LSRM поверки\Поверка 2024\Маринелли\Cs137_420-7-15_Маринелли_0cm.xml
✅,,G1S24_K40_Mar,G1S24,known,40K,1024,8627.5,166347,7.16,Фон закр кр вода_16.xml,poly1,G1S_mar1l_oisn06_066_p24,MARINELLI,"Маринелли, набивка ОИСН-06 0.66 г/см³, вплотную",ОИСН-06,0.66,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn06_066_p24,LSRM поверки\Поверка 2024\Маринелли\K40_420-7-20_Маринелли_0cm.xml
✅,,G1S24_K40_Mar_2,G1S24,known,40K,1024,6813.9,220483,7.16,Фон закр кр вода_16.xml,ref-cal(G1S24_Ra226_Mar_2),G1S_mar1l_oisn16_155_p24,MARINELLI,"Маринелли, набивка ОИСН-16 1.55 г/см³, вплотную",ОИСН-16,1.55,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn16_155_p24,LSRM поверки\Поверка 2024\Маринелли\K40_420-7-21_Маринелли_0cm.xml
✅,,G1S24_Ra226_Mar,G1S24,known,Ra-226,1024,5242.5,1010827,7.16,Фон закр кр вода_16.xml,affine,G1S_mar1l_oisn06_062_p24,MARINELLI,"Маринелли, набивка ОИСН-06 0.62 г/см³, вплотную",ОИСН-06,0.62,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn06_062_p24,LSRM поверки\Поверка 2024\Маринелли\Ra226_420-7-18_Маринелли_0cm.xml
✅,,G1S24_Ra226_Mar_2,G1S24,known,Ra-226,1024,5813.7,3106164,7.16,Фон закр кр вода_16.xml,affine/grp,G1S_mar1l_oisn16_167_p24,MARINELLI,"Маринелли, набивка ОИСН-16 1.67 г/см³, вплотную",ОИСН-16,1.67,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn16_167_p24,LSRM поверки\Поверка 2024\Маринелли\Ra226_420-7-19_Маринелли_0cm.xml
✅,,G1S24_Th232_Mar,G1S24,known,Th-232,1024,4284.6,624724,7.16,Фон закр кр вода_16.xml,poly2/grp,G1S_mar1l_oisn06_064_p24,MARINELLI,"Маринелли, набивка ОИСН-06 0.64 г/см³, вплотную",ОИСН-06,0.64,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn06_064_p24,LSRM поверки\Поверка 2024\Маринелли\Th-232_420-17031_Маринелли_0cm.xml
✅,,G1S24_Th232_Mar_2,G1S24,known,Th-232,1024,11359.2,8006138,7.16,Фон закр кр вода_16.xml,affine,G1S_mar1l_oisn16_160_p24,MARINELLI,"Маринелли, набивка ОИСН-16 1.6 г/см³, вплотную",ОИСН-16,1.6,Sodium iodide,"физика 11, 473 КБ",G1S_mar1l_oisn16_160_p24,LSRM поверки\Поверка 2024\Маринелли\Th232_420-7-17_Маринелли_0cm.xml
✅,,G1S24_Cs137_Petri,G1S24,known,137CS,1024,9073.7,96036,7.16,Фон закр кр вода_16.xml,affine,G1S_petri60_oisn06_057_p24,CYLINDER,"Петри-60, набивка ОИСН-06 0.567 г/см³, вплотную",ОИСН-06,0.56666667,Sodium iodide,"физика 11, 473 КБ",G1S_petri60_oisn06_057_p24,LSRM поверки\Поверка 2024\Петри-60мл\Cs137_420-7-14_Петри-60мл_0cm.xml
✅,,G1S24_Cs137_Petri_2,G1S24,known,137CS,1024,11415.8,196903,7.16,Фон закр кр вода_16.xml,gain,G1S_petri60_oisn16_167_p24,CYLINDER,"Петри-60, набивка ОИСН-16 1.667 г/см³, вплотную",ОИСН-16,1.6666667,Sodium iodide,"физика 11, 473 КБ",G1S_petri60_oisn16_167_p24,LSRM поверки\Поверка 2024\Петри-60мл\Cs137_420-7-15_Петри-60мл_0cm.xml
✅,,G1S24_K40_Petri,G1S24,known,40K,1024,58042.8,491887,7.16,Фон закр кр вода_16.xml,poly2/grp,G1S_petri60_oisn06_067_p24,CYLINDER,"Петри-60, набивка ОИСН-06 0.667 г/см³, вплотную",ОИСН-06,0.66666667,Sodium iodide,"физика 11, 473 КБ",G1S_petri60_oisn06_067_p24,LSRM поверки\Поверка 2024\Петри-60мл\K40_420-7-20_Петри-60мл_0cm.xml
✅,,G1S24_K40_Petri_2,G1S24,known,40K,1024,9758.1,94815,7.16,Фон закр кр вода_16.xml,ref-cal(G1S24_Ra226_Petri_2),G1S_petri60_oisn16_155_p24,CYLINDER,"Петри-60, набивка ОИСН-16 1.55 г/см³, вплотную",ОИСН-16,1.55,Sodium iodide,"физика 11, 473 КБ",G1S_petri60_oisn16_155_p24,LSRM поверки\Поверка 2024\Петри-60мл\K40_420-7-21_Петри-60мл_0cm.xml
✅,,G1S24_Ra226_Petri,G1S24,known,Ra-226,1024,9050.7,220817,7.16,Фон закр кр вода_16.xml,affine/robust/grp,G1S_petri60_oisn06_062_p24,CYLINDER,"Петри-60, набивка ОИСН-06 0.617 г/см³, вплотную",ОИСН-06,0.61666667,Sodium iodide,"физика 11, 473 КБ",G1S_petri60_oisn06_062_p24,LSRM поверки\Поверка 2024\Петри-60мл\Ra226_420-7-18_Петри-60мл_0cm.xml
✅,,G1S24_Ra226_Petri_2,G1S24,known,Ra-226,1024,13301.4,739150,7.16,Фон закр кр вода_16.xml,poly2,G1S_petri60_oisn16_167_p24,CYLINDER,"Петри-60, набивка ОИСН-16 1.667 г/см³, вплотную",ОИСН-16,1.6666667,Sodium iodide,"физика 11, 473 КБ",G1S_petri60_oisn16_167_p24,LSRM поверки\Поверка 2024\Петри-60мл\Ra226_420-7-19_Петри-60мл_0cm.xml
✅,,G1S24_Th232_Petri,G1S24,known,Th-232,1024,55934.0,1135621,7.16,Фон закр кр вода_16.xml,gain,G1S_petri60_oisn06_064_p24,CYLINDER,"Петри-60, набивка ОИСН-06 0.64 г/см³, вплотную",ОИСН-06,0.64,Sodium iodide,"физика 11, 473 КБ",G1S_petri60_oisn06_064_p24,LSRM поверки\Поверка 2024\Петри-60мл\Th-232_420-17031_Петри-60мл_0cm.xml
✅,,G1S24_Th232_Petri_2,G1S24,known,Th-232,1024,61929.4,4750845,7.16,Фон закр кр вода_16.xml,poly2,G1S_petri60_oisn16_160_p24,CYLINDER,"Петри-60, набивка ОИСН-16 1.6 г/см³, вплотную",ОИСН-16,1.6,Sodium iodide,"физика 11, 473 КБ",G1S_petri60_oisn16_160_p24,LSRM поверки\Поверка 2024\Петри-60мл\Th232_420-7-17_Петри-60мл_0cm.xml
✅,,G1S24_Cs137_P25,G1S24,known,137CS,1024,3434.8,1107180,7.16,Фон отк кр_16.xml,affine,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2024\Точечная-25см\Cs-137 №163.2017_Точечная-25см_25cm.xml
✅,,G1S24_Na22_P25,G1S24,known,22NA,1024,3187.2,4939084,7.16,Фон отк кр_16.xml,affine/robust,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2024\Точечная-25см\Na-22 #01.22_Точечная-25см_25cm.xml
